Date,Ticker,Post_Title,Scenario,Entry,Stop_Loss,Targets,R_R_Ratio,Est_Probability,Link,Current_Price,Price_Updated
2026-05-30,RCAT,RCAT,Bullish Pullback BuyPRIMARY,$13.00 – $13.80(Retest of recent support after surge),Below $11.80 – $12.20(10–12% risk),$16.50 (T1)$18.50–$20.00 (T2),1:2.0+,\~55–65%,https://wildswingtrades.blogspot.com/2026/05/rcat.html,14.5,2026-05-31 01:34
2026-05-30,RCAT,RCAT,Breakout ContinuationAGGRESSIVE,Above $15.00 – $15.50 on volume,$13.50 – $13.80 zone,$17.50 (T1)$20+ (T2),1:2.5+,\~52–62%,https://wildswingtrades.blogspot.com/2026/05/rcat.html,14.5,2026-05-31 01:34
2026-05-30,RCAT,RCAT,Range-Bound Swing,$13.50 – $14.80,Below $12.50,$16.00 – $17.00,1:1.8,\~50–60%,https://wildswingtrades.blogspot.com/2026/05/rcat.html,14.5,2026-05-31 01:34
2026-05-30,SATL,SATL,Bullish Pullback BuyPRIMARY,$8.80 – $9.40(Near-term support zone),Below $8.00 – $8.30(10–12% risk),$11.50 (T1)$13.50–$15.00 (T2),1:2.0+,\~55–65%,https://wildswingtrades.blogspot.com/2026/05/satl.html,9.51,2026-05-31 01:34
2026-05-30,SATL,SATL,Breakout ContinuationAGGRESSIVE,Above $10.50 – $11.00 on volume,$9.20 – $9.50 zone,$12.50 (T1)$15+ (T2),1:2.5+,\~50–60%,https://wildswingtrades.blogspot.com/2026/05/satl.html,9.51,2026-05-31 01:34
2026-05-30,SATL,SATL,Range-Bound Swing,$9.00 – $10.00,Below $8.20,$11.00 – $11.80,1:1.8,\~50–60%,https://wildswingtrades.blogspot.com/2026/05/satl.html,9.51,2026-05-31 01:34
2026-05-30,RLMD,RLMD,Bullish Pullback BuyPRIMARY,$6.80 – $7.10(Near-term support zone),Below $6.20 – $6.40(10–12% risk),$9.00 (T1)$11.00–$12.00 (T2),1:2.0+,\~52–62%,https://wildswingtrades.blogspot.com/2026/05/rlmd.html,7.21,2026-05-31 01:34
2026-05-30,RLMD,RLMD,Breakout ContinuationAGGRESSIVE,Above $7.60 – $7.80 on volume,$6.90 – $7.10 zone,$9.50 (T1)$12+ (T2),1:2.5+,\~48–58%,https://wildswingtrades.blogspot.com/2026/05/rlmd.html,7.21,2026-05-31 01:34
2026-05-30,RLMD,RLMD,Range-Bound Swing,$6.90 – $7.50,Below $6.30,$8.50 – $9.00,1:1.8,\~50–60%,https://wildswingtrades.blogspot.com/2026/05/rlmd.html,7.21,2026-05-31 01:34
2026-05-30,LWLG,LWLG,Bullish Pullback BuyPRIMARY,$10.50 – $11.00(Near-term support zone),Below $9.50 – $9.80(10–12% risk),$13.50 (T1)$15.50–$17.00 (T2),1:2.0+,\~55–65%,https://wildswingtrades.blogspot.com/2026/05/lwlg.html,10.86,2026-05-31 01:34
