Date,Ticker,Post_Title,Scenario,Entry,Stop_Loss,Targets,R_R_Ratio,Est_Probability,Link,Price_Updated,Current_Price
2026-06-01,IRTC,"IRTC Swing Trading Playbook - May 30, 2026",Bullish Pullback BuyPRIMARY,$108 – $112(Near-term support zone),Below $102 – $104(6–8% risk),$130 (T1)$150–$160 (T2),1:2.0+,~58–68%,https://wildswingtrades.blogspot.com/2026/05/irtc-swing-trading-playbook-may-30-2026.html,Market closed (2026-05-31) - prices not refreshed,
2026-06-01,IRTC,"IRTC Swing Trading Playbook - May 30, 2026",Breakout ContinuationAGGRESSIVE,Above $118 – $120 on volume,$108 – $110 zone,$135 (T1)$160+ (T2),1:2.5+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/irtc-swing-trading-playbook-may-30-2026.html,Market closed (2026-05-31) - prices not refreshed,
2026-06-01,IRTC,"IRTC Swing Trading Playbook - May 30, 2026",Range-Bound Swing,$110 – $116,Below $104,$125 – $130,1:1.8,~52–62%,https://wildswingtrades.blogspot.com/2026/05/irtc-swing-trading-playbook-may-30-2026.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-31,MULTI,"Relmada Therapeutics, Inc. (RLMD)",Bullish Pullback BuyPRIMARY,$6.80 – $7.10(Near-term support zone),Below $6.20 – $6.40(10–12% risk),$9.00 (T1)$11.00–$12.00 (T2),1:2.0+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/relmada-therapeutics-inc-rlmd.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-31,MULTI,"Relmada Therapeutics, Inc. (RLMD)",Breakout ContinuationAGGRESSIVE,Above $7.60 – $7.80 on volume,$6.90 – $7.10 zone,$9.50 (T1)$12+ (T2),1:2.5+,~50–60%,https://wildswingtrades.blogspot.com/2026/05/relmada-therapeutics-inc-rlmd.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-31,MULTI,"Relmada Therapeutics, Inc. (RLMD)",Range-Bound Swing,$6.90 – $7.50,Below $6.30,$8.50 – $9.00,1:1.8,~50–60%,https://wildswingtrades.blogspot.com/2026/05/relmada-therapeutics-inc-rlmd.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-31,MULTI,Ondas Holdings Inc. (ONDS),Bullish Pullback BuyPRIMARY,$2.60 – $2.75(Near-term support zone),Below $2.30 – $2.40(10–12% risk),$3.50 (T1)$4.20–$4.50 (T2),1:2.0+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/ondas-holdings-inc-onds.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-31,MULTI,Ondas Holdings Inc. (ONDS),Breakout ContinuationAGGRESSIVE,Above $3.10 – $3.20 on volume,$2.70 – $2.80 zone,$3.80 (T1)$4.80+ (T2),1:2.5+,~50–60%,https://wildswingtrades.blogspot.com/2026/05/ondas-holdings-inc-onds.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-31,MULTI,Ondas Holdings Inc. (ONDS),Range-Bound Swing,$2.70 – $3.00,Below $2.40,$3.40 – $3.70,1:1.8,~50–60%,https://wildswingtrades.blogspot.com/2026/05/ondas-holdings-inc-onds.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-31,MULTI,"NerdWallet, Inc. (NRDS)",Bullish Pullback BuyPRIMARY,$17.20 – $17.80(Near-term support zone),Below $16.00 – $16.30(8–10% risk),$20.50 (T1)$22.50–$23.50 (T2),1:2.0+,~58–68%,https://wildswingtrades.blogspot.com/2026/05/nerdwallet-inc-nrds.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-31,MULTI,"NerdWallet, Inc. (NRDS)",Breakout ContinuationAGGRESSIVE,Above $19.00 – $19.50 on volume,$17.60 – $17.90 zone,$21.50 (T1)$24+ (T2),1:2.3+,~55–65%,https://wildswingtrades.blogspot.com/2026/05/nerdwallet-inc-nrds.html,Market closed (2026-05-31) - prices not refreshed,
2026-05-31,MULTI,"NerdWallet, Inc. (NRDS)",Range-Bound Swing,$17.50 – $18.80,Below $16.40,$20.00 – $21.00,1:1.8,~52–62%,https://wildswingtrades.blogspot.com/2026/05/nerdwallet-inc-nrds.html,Market closed (2026-05-31) - prices not refreshed,
